SNR,BER,Noise Power,Latency,Bandwidth,Error Burst Length,Data Type,Network Type,Optimal ECC
18.149818163411688,0.006892839870626656,0.292,154,57.948430499964125,4,Packet,Storage,BCH
13.225702594026409,0.008966006199726671,0.488,255,99.0780119915105,2,Streaming,5G,LDPC
22.753958184195245,0.0011122159847838716,0.427,314,49.46961799229387,4,Packet,5G,LDPC
1.4735673628923398,0.00018195925252344802,0.065,430,19.63033415141223,3,Packet,Satellite,LDPC
22.52835257960926,0.008378208108176246,0.234,357,19.787727071688405,1,Streaming,Wi-Fi,Turbo
18.64476324438361,0.006255979124838802,0.058,306,8.247172596230975,1,Streaming,Satellite,Convolutional
9.80870885736328,0.004822336188143802,0.42,477,76.458753306775,1,Streaming,Satellite,LDPC
14.622019667923714,0.006506683723920629,0.423,241,58.533780896552926,7,Packet,Storage,Reed-Solomon
16.038156548449447,0.00828936433109979,0.487,415,52.352703016110226,7,Streaming,Wi-Fi,BCH
20.289762414679004,0.005489596919045944,0.425,115,30.33305485323202,3,Packet,5G,LDPC
4.217833905728395,0.005985536599687262,0.415,354,16.282904086031067,10,Streaming,5G,Reed-Solomon
29.90293294393818,0.006163940613356479,0.158,176,75.43938345861655,5,Streaming,5G,Convolutional
26.498157746535732,0.00958548817165499,0.378,196,66.07444543822557,5,Streaming,Storage,LDPC
20.425916573664534,0.007624651459756126,0.468,187,78.65358131766277,2,Streaming,Wi-Fi,Reed-Solomon
1.0622559403552962,0.008970914797979748,0.223,455,30.191686289423448,6,Packet,Storage,Reed-Solomon
25.732986633799776,0.0033837120227900685,0.048,67,97.82448777225272,3,Streaming,Wi-Fi,Polar
4.787553672287395,0.002401739432065672,0.277,214,18.60554045749334,2,Streaming,Storage,Convolutional
22.851004180059324,0.0013618191506289399,0.16,42,32.45098469029236,1,Packet,Storage,BCH
13.637250429432576,0.008291038484575975,0.062,98,21.369084318178416,2,Packet,Satellite,BCH
6.21638763919393,0.00529508632166255,0.461,310,97.6011906653436,2,Streaming,Satellite,LDPC
28.79710216396668,0.007181599413543891,0.143,229,17.619064134282574,2,Streaming,5G,Convolutional
27.714893510509704,0.007000794752085708,0.205,480,54.907523067474614,4,Packet,5G,Turbo
21.05924338773736,0.0070948065794515704,0.331,313,29.684725944464663,3,Packet,Satellite,BCH
2.223579374612612,0.0030764071978854448,0.202,479,56.22763703139826,1,Packet,Storage,LDPC
2.3285768051339577,0.00513859329142277,0.076,393,79.9273294491524,4,Streaming,Wi-Fi,LDPC
2.295582253710302,0.00069869760142706,0.244,453,93.3694228636518,4,Packet,Wi-Fi,LDPC
7.709687849793615,0.007642738622516377,0.092,392,34.312759528640946,8,Streaming,Satellite,Reed-Solomon
18.09661653616333,0.0004779169598266696,0.087,306,2.172710730711669,6,Packet,IoT,Hamming
28.120437753373572,0.002665980897808799,0.364,334,9.59428323008909,7,Packet,Storage,Reed-Solomon
2.818616487063614,0.0025772825531055164,0.266,455,64.03156587775013,2,Streaming,IoT,LDPC
8.773956651210312,0.008018217230845793,0.201,401,26.157601530862436,6,Streaming,Satellite,Reed-Solomon
2.0800333331484646,0.0025281118883788496,0.205,467,66.15556156494293,1,Streaming,Wi-Fi,LDPC
5.8132287853895095,0.001971699593199105,0.478,173,48.14263390676683,2,Streaming,Wi-Fi,LDPC
3.5782106706927053,0.003298471203111654,0.373,216,95.99583339606866,2,Packet,5G,LDPC
6.873375933113572,0.003491047856569906,0.484,252,76.2662267691789,3,Packet,Wi-Fi,LDPC
2.4380943150515235,0.009892644424557943,0.051,445,86.79387111698817,3,Packet,Satellite,LDPC
30.1956034366957,0.008230972585181727,0.378,204,95.03925662433625,3,Packet,IoT,LDPC
11.92906546565203,0.002133410678137231,0.082,378,16.10199800795205,1,Packet,Storage,Turbo
